date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:34	326/326	U-----	200	untouched ('OK')	text/plain	etag:%2220959212%22	https://vibingsarasota.com/robots.txt		(from )
10:26:34	19271/19271	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/index.html	(from )
10:26:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2011%20Aug%202025%2014:26:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/codex/NCF/WebF25/vibingsarasota.com/www.googletagmanager.com/gtm.05445.delayed	(from https://vibingsarasota.com/)
10:26:58	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2011%20Aug%202025%2014:26:54%20GMT	https://fonts.googleapis.com/robots.txt		(from https://vibingsarasota.com/)
10:27:13	66672/66672	U-----	200	untouched ('OK')	text/css	etag:%2220959212%22	https://vibingsarasota.com/css/style.css	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/css/style.css	(from https://vibingsarasota.com/)
10:27:13	6959/6959	U-----	200	untouched ('OK')	text/css	etag:%2220959212%22	https://vibingsarasota.com/css/consent-banner.css	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/css/consent-banner.css	(from https://vibingsarasota.com/)
10:27:13	1042/1042	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Aug%202025%2014:26:53%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@400;700&family=Open+Sans:wght@400;600&display=swap	C:/codex/NCF/WebF25/vibingsarasota.com/fonts.googleapis.com/css2.139d4.delayed	(from https://vibingsarasota.com/)
10:27:13	19271/19271	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/index.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/index-2.html	(from https://vibingsarasota.com/)
10:27:32	16501/16501	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/food-services.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/food-services.html	(from https://vibingsarasota.com/)
10:27:49	14267/14267	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/golf-courses.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/golf-courses.html	(from https://vibingsarasota.com/)
